depth         color          imu
18052764  18046510  18037601
18086134  18079848  18066360
18119503  18113186  18103279
18152872  18146524  18132062
18219611  18213201  18201457
18252980  18246539  18238341
18286349  18279877  18267083
18319718  18313215  18303968
18353088  18346553  18332739
18386457  18379891  18365271
18419826  18413229  18402147
18453195  18446568  18439016
18486565  18479906  18467792
18519934  18513244  18504687
18553303  18546582  18533505
18586672  18579920  18565995
18620042  18613258  18602835
18686780  18679934  18668470
18720149  18713273  18697272
18753519  18746611  18734119
18786888  18779949  18766679
18820257  18813287  18803540
18853626  18846625  18832277
18886996  18879963  18869193
18920365  18913301  18897928
18953734  18946639  18930494
18987103  18979978  18967347
19020473  19013316  19004248
19053842  19046654  19033065
19120580  19113330  19098661
19153950  19146668  19131200
19187319  19180006  19168068
19220688  19213344  19196786
19254057  19246683  19233657
19287427  19280021  19270525
19320796  19313359  19299321
19354165  19346697  19331898
19387534  19380035  19368721
19420904  19413373  19397496
19454273  19446711  19434425
19487642  19480049  19471279
19521011  19513388  19500085
19554381  19546726  19532634
19587750  19580064  19569539
19654488  19646740  19635119
19687858  19680078  19672012
19721227  19713416  19704607
19754596  19746754  19733327
19787965  19780093  19770220
19821335  19813431  19798964
19854704  19846769  19831576
19888073  19880107  19868469
19921442  19913445  19905285
19954812  19946783  19933981
19988181  19980121  19970913
20021550  20013459  19999669
20054919  20046798  20036543
20088289  20080136  20069177
20155027  20146812  20134691
20188396  20180150  20171573
20221766  20213488  20200359
20255135  20246826  20237230
20288504  20280164  20269824
20321873  20313503  20306711
20355243  20346841  20335411
20388612  20380179  20372286
20421981  20413517  20401004
20455350  20446855  20437910
20488720  20480193  20466661
20522089  20513531  20507386
20555458  20546869  20536117
20588827  20580208  20572987
20622197  20613546  20601729
20688935  20680222  20671197
20722304  20713560  20699975
20755674  20746898  20736832
20789043  20780236  20765561
20822412  20813574  20802484
20855781  20846913  20839329
20889151  20880251  20871969
20922520  20913589  20900581
20955889  20946927  20937482
20989258  20980265  20974384
21022628  21013603  21003102
21055997  21046941  21039997
21122735  21113618  21101287
21156105  21146956  21138095
21189474  21180294  21166876
21222843  21213632  21203750
21256212  21246970  21240688
21289582  21280308  21269424
21322951  21313646  21301965
21356320  21346984  21338836
21389689  21380323  21367601
21423059  21413661  21404486
21456428  21446999  21433285
21489797  21480337  21470084
21523166  21513675  21502672
21556536  21547013  21539530
21589905  21580351  21568267
21656643  21647028  21633914
21690013  21680366  21666514
21723382  21713704  21703330
21756751  21747042  21740221
21790120  21780380  21768957
21823490  21813718  21805853
21856859  21847056  21834605
21890228  21880394  21867181
21923597  21913733  21904068
21956967  21947071  21932776
21990336  21980409  21969702
22023705  22013747  22006550
22057074  22047085  22035346
22090444  22080423  22067885
22123813  22113761  22104738
22157182  22147099  22141610
22190551  22180438  22170441
22223921  22213776  22207309
22290659  22280452  22268588
22324028  22313790  22305521
22357398  22347128  22334192
22390767  22380466  22371091
22424136  22413804  22407981
22457505  22447143  22436722
22490875  22480481  22469266
22524244  22513819  22506120
22557613  22547157  22543060
22590982  22580495  22571800
22624352  22613833  22600552
22657721  22647171  22637424
22691090  22680509  22670000
22724459  22713848  22706920
22757829  22747186  22735628
22791198  22780524  22772543
22857936  22847200  22841956
22891306  22880538  22870674
22924675  22913876  22907566
22958044  22947214  22936332
22991413  22980553  22973240
23024783  23013891  23001941
23058152  23047229  23034484
23091521  23080567  23071340
23124890  23113905  23108241
23158260  23147243  23136998
23191629  23180581  23173903
23224998  23213919  23202659
23291737  23280596  23272109
